question_index,question,gold_fact,rerank_score,rerank_rank,embedding_similarity,embedding_rank,total_facts_count,rerank_percentile,embedding_percentile,avg_percentile
0,在2024年，一个中东国家计划对一个被指控秘密发展核能力的国家发动军事行动，但这一计划被一个西方大国当选领导人明确反对。反对后不久，被针对的国家对该西方大国在中东地区的军事设施发动了报复性袭击。这次袭击事件中，西方大国官方报告的伤亡情况如何？,2024年4月16日，美国《纽约时报》报道称以色列原计划2024年5月袭击伊朗核设施。,0.29492786641402474,1,0.6221224069595337,1,42,1.0,1.0,1.0
0,在2024年，一个中东国家计划对一个被指控秘密发展核能力的国家发动军事行动，但这一计划被一个西方大国当选领导人明确反对。反对后不久，被针对的国家对该西方大国在中东地区的军事设施发动了报复性袭击。这次袭击事件中，西方大国官方报告的伤亡情况如何？,2024年4月7日，美国总统特朗普与以色列总理内塔尼亚胡在白宫举行会谈，特朗普明确告诉内塔尼亚胡，美国不会支持以色列在5月袭击伊朗核设施。,0.19352995506429135,2,0.49798762798309326,5,42,0.9761904761904762,0.9047619047619048,0.9404761904761905
0,在2024年，一个中东国家计划对一个被指控秘密发展核能力的国家发动军事行动，但这一计划被一个西方大国当选领导人明确反对。反对后不久，被针对的国家对该西方大国在中东地区的军事设施发动了报复性袭击。这次袭击事件中，西方大国官方报告的伤亡情况如何？,2024年12月13日，美国当选总统特朗普在与以色列总理内塔尼亚胡通电话时告诉对方，他担心自己任期内伊朗会实现‘核突破’。,0.18215529324733268,5,0.49621230363845825,6,42,0.9047619047619048,0.8809523809523809,0.8928571428571428
0,在2024年，一个中东国家计划对一个被指控秘密发展核能力的国家发动军事行动，但这一计划被一个西方大国当选领导人明确反对。反对后不久，被针对的国家对该西方大国在中东地区的军事设施发动了报复性袭击。这次袭击事件中，西方大国官方报告的伤亡情况如何？,2024年9月9日，美国总统特朗普就伊朗袭击美军基地事件发表声明，表示在伊朗空袭中，没有美国人受伤。,0.19028990045500901,4,0.4927443861961365,7,42,0.9285714285714286,0.8571428571428572,0.8928571428571429
1,在去年夏季，一个武装组织通过无人机展示了其监视邻国北部军事设施的能力，这一事件加剧了地区紧张。随后，在秋季，该组织的一位关键领导人在一次针对首都的空袭中丧生，其葬礼吸引了大量民众参加，并有来自另一个国家的代表出席。葬礼上，现任领导人誓言继续抵抗，并强调一个涉及外国军队撤出的协议框架。该协议最初设定的时间节点是什么时候？,黎巴嫩真主党6月18日晚间发布了一段长达9分21秒的无人机拍摄视频,0.15465343810704493,24,0.5018866658210754,24,71,0.676056338028169,0.676056338028169,0.676056338028169
1,在去年夏季，一个武装组织通过无人机展示了其监视邻国北部军事设施的能力，这一事件加剧了地区紧张。随后，在秋季，该组织的一位关键领导人在一次针对首都的空袭中丧生，其葬礼吸引了大量民众参加，并有来自另一个国家的代表出席。葬礼上，现任领导人誓言继续抵抗，并强调一个涉及外国军队撤出的协议框架。该协议最初设定的时间节点是什么时候？,视频显示，真主党的无人机飞越了几乎整个以色列北部，一路渗透到距离边境30公里以外的以色列领土上,0.15811400520932103,19,0.5313661694526672,13,71,0.7464788732394366,0.8309859154929577,0.7887323943661972
1,在去年夏季，一个武装组织通过无人机展示了其监视邻国北部军事设施的能力，这一事件加剧了地区紧张。随后，在秋季，该组织的一位关键领导人在一次针对首都的空袭中丧生，其葬礼吸引了大量民众参加，并有来自另一个国家的代表出席。葬礼上，现任领导人誓言继续抵抗，并强调一个涉及外国军队撤出的协议框架。该协议最初设定的时间节点是什么时候？,真主党领导人哈桑·纳斯鲁拉及多名真主党高层在9月27日的空袭中被炸死,0.16317545787015134,13,0.5187649726867676,18,71,0.8309859154929577,0.7605633802816901,0.795774647887324
1,在去年夏季，一个武装组织通过无人机展示了其监视邻国北部军事设施的能力，这一事件加剧了地区紧张。随后，在秋季，该组织的一位关键领导人在一次针对首都的空袭中丧生，其葬礼吸引了大量民众参加，并有来自另一个国家的代表出席。葬礼上，现任领导人誓言继续抵抗，并强调一个涉及外国军队撤出的协议框架。该协议最初设定的时间节点是什么时候？,当地时间2月23日，已故前任真主党领导人纳斯鲁拉的葬礼在黎巴嫩首都贝鲁特举行,0.15537215505224494,22,0.5071509480476379,21,71,0.704225352112676,0.7183098591549295,0.7112676056338028
1,在去年夏季，一个武装组织通过无人机展示了其监视邻国北部军事设施的能力，这一事件加剧了地区紧张。随后，在秋季，该组织的一位关键领导人在一次针对首都的空袭中丧生，其葬礼吸引了大量民众参加，并有来自另一个国家的代表出席。葬礼上，现任领导人誓言继续抵抗，并强调一个涉及外国军队撤出的协议框架。该协议最初设定的时间节点是什么时候？,伊朗最高领袖哈梅内伊派代表参加葬礼并由代表宣读他的致辞,0.1667977173853044,8,0.5198749303817749,16,71,0.9014084507042254,0.7887323943661972,0.8450704225352113
1,在去年夏季，一个武装组织通过无人机展示了其监视邻国北部军事设施的能力，这一事件加剧了地区紧张。随后，在秋季，该组织的一位关键领导人在一次针对首都的空袭中丧生，其葬礼吸引了大量民众参加，并有来自另一个国家的代表出席。葬礼上，现任领导人誓言继续抵抗，并强调一个涉及外国军队撤出的协议框架。该协议最初设定的时间节点是什么时候？,现任真主党领导人卡西姆发表视频讲话，誓言“无论付出多少牺牲，抵抗仍将继续”,0.18081304865440462,4,0.5043003559112549,22,71,0.9577464788732395,0.704225352112676,0.8309859154929577
1,在去年夏季，一个武装组织通过无人机展示了其监视邻国北部军事设施的能力，这一事件加剧了地区紧张。随后，在秋季，该组织的一位关键领导人在一次针对首都的空袭中丧生，其葬礼吸引了大量民众参加，并有来自另一个国家的代表出席。葬礼上，现任领导人誓言继续抵抗，并强调一个涉及外国军队撤出的协议框架。该协议最初设定的时间节点是什么时候？,根据协议，以军应在60天内、即2025年1月26日之前逐步撤出黎南部,0.19684769701636085,1,0.5628950595855713,4,71,1.0,0.9577464788732395,0.9788732394366197
2,在一个中东国家，最高法院近期作出判决，要求政府停止对特定宗教机构的资助，引发政治争议。此前，该国一位负责国防事务的高级官员被撤职，导致大规模抗议。更早时，该国外交部长公开感谢美国对一个导弹防御系统的支持。在最高法院事件中，公开批评总理的反对派领袖是谁？,2024年3月28日，以色列最高法院判决要求以色列政府停止资助抵制征兵令的犹太宗教机构。,0.3020442741829011,1,0.6087865233421326,1,66,1.0,1.0,1.0
2,在一个中东国家，最高法院近期作出判决，要求政府停止对特定宗教机构的资助，引发政治争议。此前，该国一位负责国防事务的高级官员被撤职，导致大规模抗议。更早时，该国外交部长公开感谢美国对一个导弹防御系统的支持。在最高法院事件中，公开批评总理的反对派领袖是谁？,2024年3月28日，‘未来党’领袖亚伊尔·拉皮德抨击内塔尼亚胡。,0.15088563297463614,16,0.4769960641860962,51,66,0.7727272727272727,0.24242424242424243,0.5075757575757576
2,在一个中东国家，最高法院近期作出判决，要求政府停止对特定宗教机构的资助，引发政治争议。此前，该国一位负责国防事务的高级官员被撤职，导致大规模抗议。更早时，该国外交部长公开感谢美国对一个导弹防御系统的支持。在最高法院事件中，公开批评总理的反对派领袖是谁？,2023年11月5日晚，以色列总理内塔尼亚胡将国防部长约阿夫·加兰特撤职。,0.15486597080794828,14,0.5919911861419678,3,66,0.803030303030303,0.9696969696969697,0.8863636363636364
